iter	MultiClass
0	1.745785194
1	1.70316552
2	1.66185533
3	1.621143585
4	1.58291937
5	1.547727539
6	1.514256125
7	1.480853712
8	1.45095215
9	1.42154823
10	1.392316208
11	1.365525392
12	1.339455155
13	1.313461451
14	1.288799953
15	1.264775122
16	1.242129954
17	1.220425611
18	1.198860782
19	1.177769397
20	1.157460369
21	1.137783933
22	1.118402584
23	1.100019206
24	1.08200725
25	1.064189819
26	1.047202707
27	1.031081725
28	1.015348713
29	0.9991134092
30	0.9836692043
31	0.9691605347
32	0.9544262672
33	0.9402254107
34	0.9264844421
35	0.9129483845
36	0.8994416043
37	0.8865883569
38	0.8737255195
39	0.8616434425
40	0.8495259476
41	0.8378956874
42	0.8262961202
43	0.8151508485
44	0.8032775926
45	0.7921247764
46	0.7814741891
47	0.7707491129
48	0.7601252991
49	0.7502847913
50	0.7403235327
51	0.7304362195
52	0.7210751906
53	0.7119660131
54	0.7023844317
55	0.6928976629
56	0.684322833
57	0.6751622719
58	0.6661956704
59	0.6581398079
60	0.6493092219
61	0.640821566
62	0.633190942
63	0.62517829
64	0.6178054558
65	0.6103653584
66	0.6027359909
67	0.5949638029
68	0.5879018371
69	0.5805274593
70	0.5732787461
71	0.5668302684
72	0.5596308057
73	0.5531318686
74	0.5466096677
75	0.5396949708
76	0.5334980492
77	0.5270025263
78	0.5205240396
79	0.5141188223
80	0.5084094568
81	0.5027160782
82	0.4970270368
83	0.4913241941
84	0.4855012646
85	0.4795909893
86	0.4742754228
87	0.4687749011
88	0.4633176736
89	0.4579995455
90	0.4525246186
91	0.4476168171
92	0.4425532943
93	0.4377552122
94	0.432960817
95	0.427917174
96	0.4230997374
97	0.4183292678
98	0.4136610083
99	0.4088635979
100	0.4043117241
101	0.400014656
102	0.3954852429
103	0.3910310177
104	0.3867509639
105	0.3828111038
106	0.3787816425
107	0.3746605008
108	0.3705466933
109	0.3665832777
110	0.3625740642
111	0.3585921882
112	0.3546358777
113	0.3508989594
114	0.3473277225
115	0.3435739206
116	0.3397825573
117	0.3360882582
118	0.3325021425
119	0.3289216276
120	0.3255433428
121	0.3221872807
122	0.3187538066
123	0.3153424306
124	0.3120129742
125	0.3087792381
126	0.3057274913
127	0.3026029536
128	0.2997133712
129	0.2966153972
130	0.2936112552
131	0.2908242139
132	0.28786413
133	0.2848866161
134	0.2819896619
135	0.2790987134
136	0.2762924935
137	0.2736093363
138	0.2708277757
139	0.2680814756
140	0.2653710931
141	0.2627481132
142	0.2602971441
143	0.2577284566
144	0.2553310544
145	0.2527518961
146	0.2501978697
147	0.2477859368
148	0.2453215198
149	0.2429889238
150	0.2405949482
151	0.2382809065
152	0.2359444777
153	0.233666465
154	0.2313466172
155	0.2290942002
156	0.2268385835
157	0.2247559145
158	0.2225970947
159	0.2204785746
160	0.2183556691
161	0.2162538723
162	0.2142355048
163	0.2121319459
164	0.2101091948
165	0.2081035519
166	0.2061313513
167	0.2041270598
168	0.2022606609
169	0.2004339963
170	0.1985842214
171	0.1966928062
172	0.1948189637
173	0.1930548457
174	0.1913063905
175	0.1895656027
176	0.187819635
177	0.1860349782
178	0.184304773
179	0.1826479167
180	0.1810534486
181	0.1793683839
182	0.1777411499
183	0.176131414
184	0.1746370626
185	0.1730925461
186	0.1715795279
187	0.1700049005
188	0.1684727426
189	0.1669867389
190	0.1655330107
191	0.1640485141
192	0.1625644396
193	0.1610772302
194	0.1596582753
195	0.1583641708
196	0.1569600181
197	0.155566114
198	0.1542440416
199	0.1529060388
200	0.1515557269
201	0.1502164086
202	0.1488975255
203	0.1476057997
204	0.1463550625
205	0.1450548549
206	0.1438154135
207	0.142569794
208	0.1413693981
209	0.1401431219
210	0.1389270423
211	0.1377526873
212	0.1365933698
213	0.1354347169
214	0.134306296
215	0.1332656518
216	0.1322186862
217	0.131094353
218	0.1299788338
219	0.1289453323
220	0.1279300246
221	0.1269086875
222	0.1258838714
223	0.1248617677
224	0.123845743
225	0.1228186865
226	0.1217955589
227	0.1208140226
228	0.1198445156
229	0.1188705234
230	0.1179120105
231	0.1169455824
232	0.1160084312
233	0.1150876736
234	0.1141836176
235	0.1132821689
236	0.1123910687
