lat,lon,SQRT_SEA_DEM_LAT,WSPD,WDIR,TMP,TX,TN,TP,RH,PRES2M,NDVI,CO,HCHO,NO2,SO2,CLOUD,O3,AAI,Actual_Label,Predicted_Label,Score
21.2003445,105.9485439,6.696101,3.5448405742645264,22.866973876953125,19.07749366760254,23.7499942779541,15.579980850219727,0.0,45.4000015258789,102040.828125,0.4474761188030243,0.039789929986,5.567701476910311e-05,3.831788806034079e-05,-0.0003116237494009,0.4293207964716504,0.115980605659361,0.1039346900564972,Unhealthy,Moderate,0.6265
21.031,106.5291,4.23687,1.4118808507919312,10.66326904296875,18.62999153137207,23.54998207092285,15.209985733032227,0.0,52.9000015258789,101872.625,0.3675696822729978,0.0422444567084312,0.0001949988072737,0.0001770993694662,0.0002873678458853,0.7926289200781491,0.1151682883500565,0.0786587297916079,Moderate,Moderate,0.95
21.1518069,106.15187959999999,5.995299,2.9689559936523438,26.370880126953125,18.551240921020508,23.3599796295166,15.109979629516602,0.0,48.63750076293945,101966.03125,0.4187158346176147,0.0441854078889815,0.0001824928476709,3.655562977658141e-05,0.0006431289948527,0.8613114166375031,0.1151588559151436,0.1860272437335257,Unhealthy for Sensitive,Unhealthy for Sensitive,0.763
21.01525,105.80013000000001,4.3072305,3.0345144271850586,27.821197509765625,19.84375190734864,23.68999671936035,16.730005264282227,0.0,44.775001525878906,102050.828125,0.3267882168292999,0.0480986014007763,0.0003040367737407,5.711651101582987e-05,-9.475606202598615e-05,0.7653471792462672,0.1138257384298436,0.2753355503077932,Unhealthy for Sensitive,Unhealthy for Sensitive,0.7621
21.1277395,105.88954440000002,5.4764967,3.356093645095825,24.56771469116211,19.25343132019043,23.65398979187012,15.88949203491211,0.0,45.63500213623047,102040.7578125,0.5514093041419983,0.0428241416811943,-2.854477679652088e-05,6.198783376030251e-05,0.0004471119027591,0.4004802763463402,0.1147379204632506,0.0540012046695534,Unhealthy for Sensitive,Unhealthy for Sensitive,0.7316
21.1560765,106.2223111,4.7100043,2.9689559936523438,26.370880126953125,18.551240921020508,23.3599796295166,15.109979629516602,0.0,48.63750076293945,101966.03125,0.2858308736573565,0.0441854075376771,0.0003684457915366,2.819392102535483e-05,0.0003666062257249,0.7886904411121411,0.1134084463118624,0.14872927963722102,Unhealthy for Sensitive,Unhealthy for Sensitive,0.5441
21.089142000000002,105.990311,5.6517334,3.2474455833435063,24.661163330078125,19.367494583129886,23.57998085021973,16.070001602172848,0.0,45.8125,102070.828125,0.4108781218528747,0.0423585101962089,0.0001713424862829,6.628274422841685e-05,7.723104499746114e-05,0.8439960296088225,0.1160455420614035,0.1352058053017532,Moderate,Moderate,0.877
21.0243474,106.01728770000001,4.988467,3.2474455833435063,24.661163330078125,19.367494583129886,23.57998085021973,16.070001602172848,0.0,45.8125,102070.828125,0.5200288295745851,0.039326287806034,0.0002477259258741,5.7438770454646704e-05,8.770024578552693e-05,0.4546372047680146,0.1144024208188792,0.0345560275018437,Moderate,Moderate,0.7874
20.927,106.314,4.784339,2.490408182144165,21.865478515625,19.045000076293945,23.46999549865723,15.510004043579102,0.0,49.1500015258789,102088.828125,0.3419657173481854,0.0426375977694988,8.043897651067881e-06,7.398481830014187e-05,-6.051025138723953e-06,0.8355544849897184,0.1142583861945663,0.1511619538066924,Good,Good,0.9096
20.9774,106.4308,4.589203400000001,1.4118808507919312,10.66326904296875,18.62999153137207,23.54998207092285,15.209985733032227,0.0,52.9000015258789,101872.625,0.3603862754323266,0.0454463884234428,0.0001391472615069,7.783713226677267e-05,-4.896637983623316e-05,0.7127624344120859,0.1155142262578753,0.046168494969635994,Moderate,Moderate,0.8353
21.33847,105.3673,5.228505,0.2513914108276367,84.51216125488281,18.688995361328125,23.52900505065918,15.432990074157715,0.0,59.97999954223633,101514.1640625,0.4062273800373077,0.0506290420890584,0.0001824873761509,7.475067104689383e-05,-0.0002021036052613,0.6132581114774619,0.1143189817668656,-0.0697224438191465,Moderate,Moderate,0.576
21.023532,105.85394099999999,4.8650875,3.0345144271850586,27.821197509765625,19.84375190734864,23.68999671936035,16.730005264282227,0.0,44.775001525878906,102050.828125,0.3558492362499237,0.0471472404897213,-2.1424852093315774e-05,6.907546776341487e-05,0.0002614257100501,0.9939264893524064,0.1148354038595259,0.1248214691876394,Unhealthy for Sensitive,Unhealthy for Sensitive,0.8492
21.2003445,105.9485439,6.696101,2.0551979541778564,30.88604736328125,17.72124671936035,23.20000648498535,12.839990615844727,0.0,39.01250076293945,102081.4609375,0.359565794467926,0.0448914058506488,8.301631169157318e-05,5.2184052037751584e-05,7.728477794440921e-05,0.0,0.1165914610027773,-0.29430794715868897,Unhealthy,Unhealthy,0.9478
21.031,106.5291,4.23687,0.8480897545814514,32.84686279296875,17.64874839782715,22.82000160217285,13.760004043579102,0.0,41.48749923706055,101930.8671875,0.3788030743598938,0.0467517886656029,0.0001364928903057,0.0001448940020053,0.0005509824259204,0.0,0.1156125515698897,-0.4481866657732022,Moderate,Moderate,0.8613
21.1518069,106.15187959999999,5.995299,1.833364725112915,43.03839111328125,17.257497787475586,22.8799991607666,12.480005264282227,0.0,40.32500076293945,102009.4609375,0.3710169196128845,0.03846849128606399,0.0001731956658136,4.186915402336579e-05,-0.00017423392462299997,0.0,0.1166536551943166,-0.2973520924274103,Unhealthy,Unhealthy,0.9403
