lat,lon,SQRT_SEA_DEM_LAT,WSPD,WDIR,TMP,TX,TN,TP,RH,PRES2M,NDVI,CO,HCHO,NO2,SO2,CLOUD,O3,AAI,AQI_Bucket
21.04975,105.74187,5.922647,1.1361186504364014,145.9427490234375,20.811243057250977,23.219995498657227,18.93999671936035,0.375,74.75,102197.203125,0.0005505597218871,0.0455864652994922,6.034140460542403e-05,7.220365660032257e-05,3.454727993812412e-05,0.7116124033927917,0.1016527861356735,-0.8362026214599609,Unhealthy
21.01525,105.80013,4.3072305,1.1361186504364014,145.9427490234375,20.811243057250977,23.219995498657227,18.93999671936035,0.375,74.75,102197.203125,-0.0030056915711611,0.0419132076203823,0.0001071166916517,8.556392276659608e-05,5.5838369007688016e-05,0.7617200016975403,0.1036348119378089,-0.7185367345809937,Unhealthy
21.0243474,106.0172877,4.988467,0.6515091061592102,145.39523315429688,20.67749214172364,23.029993057250977,18.8799991607666,0.125,73.6875,102228.796875,0.00438810326159,0.0423290381664177,0.0001079854700947,7.11226457497105e-05,2.598928767838516e-05,0.8676885962486267,0.1021440550684928,-0.9423040456003036,Unhealthy
21.023532,105.853941,4.8650875,1.1361186504364014,145.9427490234375,20.811243057250977,23.219995498657227,18.93999671936035,0.375,74.75,102197.203125,-0.0017333168070763,0.0419132076203823,9.675040928414091e-05,8.464789425488561e-05,7.949936843942851e-05,0.7792936563491821,0.1028745099902153,-0.6926130652427673,Unhealthy
21.04975,105.74187,5.922647,2.7442831993103027,147.08444213867188,22.17624855041504,25.1199893951416,20.29998207092285,0.1875,78.01249694824219,102025.328125,0.0160350892692804,0.0422977730631828,0.0001153651028289,8.18790213088505e-05,-0.000344673579093,0.7053958773612976,0.1034881696105003,-1.1196810007095337,Unhealthy
21.2003445,105.9485439,6.696101,2.814284086227417,147.4604949951172,22.16249656677246,24.6500186920166,20.20000648498535,0.0625,75.20000457763672,102017.7265625,0.0050508202984929,0.0436450466513633,0.0001742967870086,8.131659706123173e-05,-0.0002589076175354,1.0,0.1033788546919822,0.1000231951475143,Unhealthy
21.1232473,106.2883295,5.527568,2.872688055038452,137.22488403320312,21.94436836242676,25.20000648498535,19.62998390197754,0.09375,76.13125610351562,102015.328125,0.0154390484094619,0.0413441807031631,0.0001034160013659,8.847543358569965e-05,7.026576349744573e-05,0.788571834564209,0.1043881475925445,-1.3871116638183594,Unhealthy
21.1527453,106.111371,5.5352697,2.7639591693878174,147.36607360839844,22.13787078857422,24.70001792907715,20.15700340270996,0.0625,75.20625305175781,102010.5625,0.0138268154114484,0.0416423715651035,0.0001707859337329,7.62951749493368e-05,0.0001984205300686,1.0,0.1033907830715179,-0.0633278116583824,Unhealthy
21.1518069,106.1518796,5.995299,2.3110344409942627,146.5162353515625,21.91624641418457,25.1500186920166,19.769983291625977,0.0625,75.26250457763672,101946.125,0.0152156166732311,0.0427378863096237,0.0001300543517572,7.476689643226564e-05,3.282928082626313e-05,1.0,0.1034647420101057,-0.1716859178196741,Unhealthy
21.1638526,105.9235646,6.0008135,2.814284086227417,147.4604949951172,22.16249656677246,24.6500186920166,20.20000648498535,0.0625,75.20000457763672,102017.7265625,0.0064531839452683,0.0420600175857543,0.0002732538559939,0.0001025255696731,0.0004078463243786,1.0,0.1026709598121977,0.3795292974047243,Unhealthy
21.0272212,106.0342099,4.7475653,2.491447687149048,140.86431884765625,21.93124961853028,24.95000648498535,20.0100040435791,0.1875,78.6624984741211,102057.9296875,0.0402525626122951,0.0434006974101066,0.0002696341834962,7.463942893082276e-05,0.000161863368703,1.0,0.1039445032125907,-0.0806456827329259,Unhealthy
21.01525,105.80013,4.3072305,2.7442831993103027,147.08444213867188,22.17624855041504,25.1199893951416,20.29998207092285,0.1875,78.01249694824219,102025.328125,0.0078703705221414,0.0447553358972072,0.0001712861267151,0.0001056912951753,0.0003139462496619,0.6739762425422668,0.1052090004086494,-1.091994285583496,Unhealthy
21.1137452,105.9268934,5.2229247,2.523731231689453,141.52394104003906,21.95437431335449,24.92000770568848,20.02900505065918,0.175,78.31624603271484,102053.90625,0.0148148145526647,0.0421319119632244,0.0003558058524504,8.786952093942091e-05,0.0001754171680659,0.9775092737638712,0.1034303395172135,-0.0299347047123875,Unhealthy
21.127574,105.9508299,5.7695165,2.6528658866882324,144.16241455078125,22.046873092651367,24.800012588500977,20.105005264282227,0.125,76.9312515258789,102037.828125,0.019138379022479,0.0420726686716079,2.318315819138661e-05,7.491762517020106e-05,5.438880907604471e-05,1.0,0.1033197492361068,0.1952086091041565,Unhealthy
21.1277395,105.8895444,5.4764967,2.6529321670532227,144.2149658203125,22.05718421936035,24.806509017944336,20.11300468444824,0.13125,76.96375274658203,102021.90625,0.0189522337168455,0.0421319119632244,0.0001803962804842,9.958168811863288e-05,-0.0002723144716583,1.0,0.1032083258032798,0.1058319583535194,Unhealthy
21.1560765,106.2223111,4.7100043,2.3110344409942627,146.5162353515625,21.91624641418457,25.1500186920166,19.769983291625977,0.0625,75.26250457763672,101946.125,0.0109679792076349,0.0407168343663215,0.0001125802227761,7.143914990592748e-05,4.288714262656868e-05,0.999981532679582,0.1036344554247042,-0.4204078242231382,Unhealthy for Sensitive
21.0353984,106.1025755,5.765338,2.491447687149048,140.86431884765625,21.93124961853028,24.95000648498535,20.0100040435791,0.1875,78.6624984741211,102057.9296875,0.0428454279899597,0.042338378727436,2.2824035568191903e-06,7.358969014603645e-05,0.0001272923691431,1.0,0.1041818694592274,-0.2080820044604374,Unhealthy
