lat,lon,SQRT_SEA_DEM_LAT,WSPD,WDIR,TMP,TX,TN,TP,RH,PRES2M,NDVI,CO,HCHO,NO2,SO2,CLOUD,O3,AAI,Actual_Label
21.127739,105.88954,5.4764967,4.6568837,139.32765,27.138756,31.889997,24.395016,1.296875,81.72188,100434.09,0.16217718,0.05810554,0.00022433184,7.611894e-05,7.828903e-05,0.7530002,0.13076851,-1.0493706,2
21.04975,105.74187,5.922647,1.026269,160.72641,25.083742,28.950006,21.60998,0.3125,76.425,101387.75,0.0653375,0.04563341,0.00019331287,5.8657344e-05,0.00065283926,0.95490986,0.11793924,-0.7039588,3
21.035398,106.10258,5.765338,3.4762137,132.1434,25.187506,29.050013,23.150019,1.75,86.575,100834.06,0.041251045,0.054043114,0.0001450273,6.082657e-05,-9.947954e-05,1.0,0.12726894,0.14797875,2
21.127739,105.88954,5.4764967,1.1945679,286.15317,30.316936,35.980007,25.788486,1.440625,64.44063,100499.37,0.72293943,0.03787213,0.00031225863,4.0855994e-05,-0.000195487,0.04012788,0.124846,-2.3119893,2
21.119446,105.9896,5.4651723,1.4710963,113.24785,29.046253,32.789993,25.779997,5.71875,74.86375,100291.39,0.038617298,0.031323463,0.0001071488,3.871356e-05,-9.6538155e-05,0.6552185,0.12833308,-2.0435143,2
21.027222,106.03421,4.7475653,1.4289664,101.04454,16.899992,20.570002,14.7000065,0.0,55.2,102347.75,0.31013384,0.06135698,0.000263905,9.736606e-05,0.00095227594,0.041468684,0.11255389,-0.5856539,4
21.127575,105.95083,5.7695165,3.6915538,149.56238,25.693754,30.50001,23.050013,0.59375,77.16875,101029.875,0.033788137,0.07199079,0.00026035358,6.647481e-05,6.753548e-05,0.49651182,0.121474594,0.20237584,4
21.163853,105.92356,6.0008135,3.3485668,137.78386,30.900011,36.450005,27.249994,2.0,71.3625,100298.18,0.25787133,0.029445753,0.00017880082,5.3440363e-05,3.2526565e-05,0.70030934,0.12505937,-2.1531491,2
21.200344,105.94855,6.696101,1.7432643,137.06303,28.00001,32.650017,24.650019,1.6875,78.2375,100821.1,0.45655608,0.02945498,0.00021452541,5.166483e-05,0.00019709325,0.095154844,0.12328258,-1.7833515,4
21.151808,106.15188,5.995299,4.296695,136.24947,23.52625,26.35,22.070002,2.3125,86.9375,100545.74,0.03148484,0.060292043,4.34403e-05,7.196074e-05,3.869447e-05,0.79685503,0.113047406,0.7363825,2
