time,ID,pm25,lat,lon,SQRT_SEA_DEM_LAT,WSPD,WDIR,TMP,TX,TN,TP,RH,PRES2M
2020-01-01,19,116.9491304,21.04975,105.74187,5.922647,1.1361186504364014,145.9427490234375,20.811243057250977,23.219995498657227,18.93999671936035,0.375,74.75,102197.203125
2020-01-01,79,105.1030435,21.01525,105.80013,4.3072305,1.1361186504364014,145.9427490234375,20.811243057250977,23.219995498657227,18.93999671936035,0.375,74.75,102197.203125
2020-01-01,163,118.2851,21.0243474,106.0172877,4.988467,0.6515091061592102,145.39523315429688,20.67749214172364,23.029993057250977,18.8799991607666,0.125,73.6875,102228.796875
2020-01-01,300,116.7391304,21.023532,105.853941,4.8650875,1.1361186504364014,145.9427490234375,20.811243057250977,23.219995498657227,18.93999671936035,0.375,74.75,102197.203125
2020-01-02,19,76.85666667,21.04975,105.74187,5.922647,2.7442831993103027,147.08444213867188,22.17624855041504,25.1199893951416,20.29998207092285,0.1875,78.01249694824219,102025.328125
2020-01-02,51,108.4323,21.2003445,105.9485439,6.696101,2.814284086227417,147.4604949951172,22.16249656677246,24.6500186920166,20.20000648498535,0.0625,75.20000457763672,102017.7265625
2020-01-02,52,57.683765,21.1232473,106.2883295,5.527568,2.872688055038452,137.22488403320312,21.94436836242676,25.20000648498535,19.62998390197754,0.09375,76.13125610351562,102015.328125
2020-01-02,53,74.36690909,21.1527453,106.111371,5.5352697,2.7639591693878174,147.36607360839844,22.13787078857422,24.70001792907715,20.15700340270996,0.0625,75.20625305175781,102010.5625
2020-01-02,62,69.7553875,21.1518069,106.1518796,5.995299,2.3110344409942627,146.5162353515625,21.91624641418457,25.1500186920166,19.769983291625977,0.0625,75.26250457763672,101946.125
2020-01-02,66,117.3869875,21.1638526,105.9235646,6.0008135,2.814284086227417,147.4604949951172,22.16249656677246,24.6500186920166,20.20000648498535,0.0625,75.20000457763672,102017.7265625
2020-01-02,71,103.1503,21.0272212,106.0342099,4.7475653,2.491447687149048,140.86431884765625,21.93124961853028,24.95000648498535,20.0100040435791,0.1875,78.6624984741211,102057.9296875
2020-01-02,79,64.28,21.01525,105.80013,4.3072305,2.7442831993103027,147.08444213867188,22.17624855041504,25.1199893951416,20.29998207092285,0.1875,78.01249694824219,102025.328125
2020-01-02,155,91.36260526,21.1137452,105.9268934,5.2229247,2.523731231689453,141.52394104003906,21.95437431335449,24.92000770568848,20.02900505065918,0.175,78.31624603271484,102053.90625
2020-01-02,156,119.4412292,21.127574,105.9508299,5.7695165,2.6528658866882324,144.16241455078125,22.046873092651367,24.800012588500977,20.105005264282227,0.125,76.9312515258789,102037.828125
2020-01-02,157,81.6505,21.1277395,105.8895444,5.4764967,2.6529321670532227,144.2149658203125,22.05718421936035,24.806509017944336,20.11300468444824,0.13125,76.96375274658203,102021.90625
2020-01-02,158,53.54972632,21.1560765,106.2223111,4.7100043,2.3110344409942627,146.5162353515625,21.91624641418457,25.1500186920166,19.769983291625977,0.0625,75.26250457763672,101946.125
2020-01-02,160,69.97322778,21.0353984,106.1025755,5.765338,2.491447687149048,140.86431884765625,21.93124961853028,24.95000648498535,20.0100040435791,0.1875,78.6624984741211,102057.9296875
2020-01-02,162,119.3897263,21.089142,105.990311,5.6517334,2.491447687149048,140.86431884765625,21.93124961853028,24.95000648498535,20.0100040435791,0.1875,78.6624984741211,102057.9296875
2020-01-02,163,90.1082375,21.0243474,106.0172877,4.988467,2.491447687149048,140.86431884765625,21.93124961853028,24.95000648498535,20.0100040435791,0.1875,78.6624984741211,102057.9296875
2020-01-02,300,61.375,21.023532,105.853941,4.8650875,2.7442831993103027,147.08444213867188,22.17624855041504,25.1199893951416,20.29998207092285,0.1875,78.01249694824219,102025.328125
2020-01-03,19,48.97375,21.04975,105.74187,5.922647,3.8486506938934326,139.6368865966797,22.586240768432617,25.80999183654785,20.279993057250977,0.5625,77.125,101829.6796875
2020-01-03,51,38.94597647,21.2003445,105.9485439,6.696101,3.851508855819702,139.67300415039062,21.88998985290528,25.39998817443848,19.4999942779541,0.5625,77.7750015258789,101831.4765625
2020-01-03,62,43.56782353,21.1518069,106.1518796,5.995299,2.9578616619110107,138.82090759277344,21.74124336242676,25.269983291625977,19.3900089263916,0.4375,76.9749984741211,101766.078125
2020-01-03,66,127.2096294,21.1638526,105.9235646,6.0008135,3.851508855819702,139.67300415039062,21.88998985290528,25.39998817443848,19.4999942779541,0.5625,77.7750015258789,101831.4765625
2020-01-03,79,40.70875,21.01525,105.80013,4.3072305,3.8486506938934326,139.6368865966797,22.586240768432617,25.80999183654785,20.279993057250977,0.5625,77.125,101829.6796875
2020-01-03,156,42.12398235,21.127574,105.9508299,5.7695165,3.6713733673095694,136.45150756835938,21.94249153137207,25.32999610900879,19.51499366760254,0.6875,78.56875610351562,101851.578125
2020-01-03,163,33.81913529,21.0243474,106.0172877,4.988467,3.49123764038086,133.2300262451172,21.994993209838867,25.2600040435791,19.529993057250977,0.8125,79.36250305175781,101871.6796875
2020-01-03,300,32.29166667,21.023532,105.853941,4.8650875,3.8486506938934326,139.6368865966797,22.586240768432617,25.80999183654785,20.279993057250977,0.5625,77.125,101829.6796875
2020-01-04,19,47.22083333,21.04975,105.74187,5.922647,3.850519180297852,130.6820068359375,22.09499931335449,24.67000770568848,20.70000648498535,1.625,79.9375,101635.8984375
2020-01-04,79,41.23875,21.01525,105.80013,4.3072305,3.850519180297852,130.6820068359375,22.09499931335449,24.67000770568848,20.70000648498535,1.625,79.9375,101635.8984375
